AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2015/2016;2095;statale;GIAN BATTISTA PIRELLI;VIA GOFFREDO DA BUSSERO 9;9;Niguarda - Cà Granda (14);250;16;339;169;170;319;20;321;0;2;2;5;0;2;7;0;273;66;0
2015/2016;2098;statale;DUCA DEGLI ABRUZZI;VIA CESARI ANTONIO 38;9;Niguarda - Cà Granda (14);500;21;454;229;225;442;12;444;1;2;3;1;0;2;1;0;433;21;0
2015/2016;2303;Paritaria;BES ELEMENTARY SCHOOL;VIA VAL CISMON 9;9;Niguarda - Cà Granda (14);0;12;287;153;134;242;45;265;8;0;3;0;6;2;2;1;284;3;0
2015/2016;2100;statale;Carnovali;VIA CARNOVALI GIOVANNI 19;2;Viale Monza (16);125;5;120;72;48;118;2;118;0;0;0;1;0;0;1;0;112;8;0
2015/2016;2101;statale;MARTIRI DI GORLA;VIA CESALPINO ANDREA 38;2;Viale Monza (16);300;21;471;233;238;448;23;418;1;1;1;24;1;7;17;1;288;183;0
2015/2016;2104;statale;Sant'Uguzzone;VIA SANT' UGUZZONE 10;2;Viale Monza (16);125;8;160;89;71;142;18;144;1;2;1;4;0;0;8;0;122;38;0
2015/2016;2105;statale;Mattei Gianfranco, 12;VIA MATTEI GIANFRANCO 12;2;Viale Monza (16);350;19;426;204;222;410;16;395;0;0;2;10;0;7;11;1;338;88;0
2015/2016;2108;statale;FRANCESCO CRISPI;VIA SANT' ERLEMBALDO 4;2;Viale Monza (16);325;10;215;112;103;206;9;183;0;0;2;15;0;0;15;0;121;94;0
2015/2016;2000;statale;PAOLO E LARISSA PINI;VIA STEFANARDO DA VIMERCATE 14;2;Viale Monza (16);675;5;79;48;31;57;22;72;0;1;2;3;0;0;1;0;52;27;0
2015/2016;2102;statale;VITTORIO BOTTEGO;VIA SAN MAMETE 11;2;Adriano (17);475;20;429;248;181;416;13;405;3;2;1;9;0;3;5;1;326;103;0
2015/2016;2134;statale;BRUNO MUNARI;VIA FELTRE 68;3;Parco Lambro - Cimiano (18);375;19;413;191;222;388;25;390;0;9;3;7;0;1;3;0;361;52;0
2015/2016;2132;Paritaria;MARIA MATER MEA;VIA PUSIANO 57;3;Parco Lambro - Cimiano (18);0;5;132;63;69;52;80;129;0;0;0;2;0;0;1;0;128;4;0
2015/2016;2302;Privata non paritaria;SIR JAMES HENDERSON SCHOOL;VIA PISANI DOSSI CARLO ALBERTO 16;3;Parco Lambro - Cimiano (18);0;15;217;114;103;109;108;110;43;7;11;4;12;3;24;3;134;83;0
2015/2016;2135;statale;ENRICO FERMI;VIA CARNIA 32;3;Parco Lambro - Cimiano (18);300;17;323;184;139;308;15;283;0;2;4;12;0;4;18;0;186;137;0
2015/2016;2110;Paritaria;SAN GIUSEPPE;VIA DE LA SALLE SAN GIOVANNI 5;2;Padova (19);0;10;261;140;121;216;45;254;1;1;2;0;0;1;2;0;252;9;0
2015/2016;2109;statale;GIANBATTISTA PERASSO;VIA BOTTEGO VITTORIO 4;2;Padova (19);500;17;368;191;177;346;22;308;2;4;8;19;0;9;17;1;198;170;0
2015/2016;2106;statale;VINCENZO RUSSO - ELEONORA PIMENTEL;VIA RUSSO VINCENZO 27;2;Padova (19);425;16;373;211;162;347;26;284;0;2;4;29;1;8;45;0;132;241;0
2015/2016;2111;Paritaria;PREZIOSISSIMO SANGUE;VIA RICCARDI PADRE PLACIDO 5;2;Padova (19);0;10;253;134;119;200;53;248;0;1;1;0;0;2;0;1;232;21;0
2015/2016;2120;statale;TITO SPERI;VIA PORPORA NICOLA ANTONIO 11;3;Loreto (20);425;16;364;189;175;352;12;328;3;3;4;7;0;5;14;0;209;155;0
2015/2016;2107;statale;TEODORO CIRESOLA;VIA VENINI GIULIO E CORRADO 80;2;Loreto (20);400;15;320;168;152;302;18;292;1;1;1;7;0;5;13;0;210;110;0
2015/2016;2112;statale;VERONICA GAMBARA;VLE BRIANZA 14;2;Loreto (20);500;15;344;171;173;335;9;320;0;1;4;5;2;3;9;0;296;48;0
2015/2016;2121;Paritaria;CASA DEI BAMBINI MONTESSORI;PZA SAN GEROLAMO 6;3;Loreto (20);0;5;118;63;55;91;27;115;0;0;0;0;1;0;2;0;117;1;0
2015/2016;2103;statale;CASA DEL SOLE;VIA GIACOSA GIUSEPPE 46;2;Loreto (20);600;24;571;307;264;536;35;483;3;2;7;33;0;11;32;0;277;294;0
2015/2016;2125;Paritaria;ROSSELLO GIUSEPPA;VIA GOLDONI CARLO 68;3;Buenos Aires - Venezia (21);0;5;95;62;33;84;11;89;1;1;3;0;0;0;1;0;91;4;0
2015/2016;2049;statale;CARLO PISACANE E CARLO POERIO;VIA PISACANE CARLO 9;3;Buenos Aires - Venezia (21);800;30;672;342;330;649;23;647;4;2;2;5;0;6;6;0;607;65;0
