AnnoScolastico;CodScuola;Gestione;Denominazione;Indirizzo;MunicipioScuola;NilScuola;Capienza;Numero_Classi;Alunni_Tot;Alunni_M;Alunni_F;Alunni_Resid;Alunni_NonResid;Alunni_NazNasc_Italia;Alunni_NazNasc_UE15;Alunni_NazNasc_UE_Nuovi;Alunni_NazNasc_Europa_Altri;Alunni_NazNasc_Africa;Alunni_NazNasc_AmericaNord;Alunni_NazNasc_AmericaCentroSud;Alunni_NazNasc_Asia;Alunni_NazNasc_Altro_NonDisp;Alunni_Cittad_Ita;Alunni_Cittad_Non_Ita;Alunni_Cittad_NonDisp
2011/2012;2147;Statale;FILZI FABIO;V. RAVENNA 15;4;Lodi - Corvetto (35);300;13;253;130;123;206;47;203;4;17;5;11;0;7;6;0;102;151;0
2011/2012;2151;Paritaria;SAN VINCENZO REGINA MUNDI;V. BONCOMPAGNI CARLO 18;4;Lodi - Corvetto (35);;8;174;85;89;124;50;173;0;0;0;0;0;1;0;0;170;4;0
2011/2012;2152;Statale;PEZZANI RENZO;V. MARTINENGO FRANCESCO 34;4;Lodi - Corvetto (35);500;18;397;219;178;380;17;368;0;4;3;11;0;5;6;0;300;97;0
2011/2012;2158;Paritaria;MERKOS L'INYONEI CHINUCH;V. DELLE FORZE ARMATE 61;7;Bande Nere (52);;5;64;25;39;58;6;49;6;0;1;0;6;0;2;0;56;8;0
2011/2012;2154;Statale;SOTTOCORNO PASQUALE;V. MONTE PIANA 11;4;Rogoredo (33);350;17;393;211;182;371;22;331;1;11;3;20;1;21;5;0;296;97;0
2011/2012;2156;Statale;FERRARI WOLF ERMANNO;V. WOLF FERRARI ERMANNO 6;5;Ripamonti (38);425;21;503;265;238;480;23;470;1;9;3;5;1;4;10;0;439;64;0
2011/2012;2140;Statale;MADRE TERESA DI CALCUTTA;LG GUERRIERI GONZAGA ANSELMO 4;4;Mecenate (30);225;10;176;99;77;169;7;162;0;2;2;4;0;4;2;0;115;61;0
2011/2012;2163;Statale;STATALE;V. FERABOLI ACHILLE 44;5;Gratosoglio - Ticinello (41);350;14;277;133;144;258;19;260;1;0;2;9;0;1;4;0;223;54;0
2011/2012;2124;Paritaria;MARIA IMMACOLATA;V. AMADEO GIOVANNI ANTONIO 11;3;CittË Studi (22);;10;201;84;117;147;54;201;0;0;0;0;0;0;0;0;195;6;0
2011/2012;2159;Paritaria;A. LIMONTA - ISTITUTO CANOSSIANE;V. TAGLIAMENTO 12;4;Lodi - Corvetto (35);;5;120;55;65;114;6;118;0;1;0;0;0;0;1;0;115;5;0
2011/2012;2162;Statale;STATALE;V. SAN GIACOMO 1;5;Stadera (42);425;15;331;183;148;321;10;314;1;1;1;7;1;2;4;0;271;60;0
2011/2012;2160;Statale;BATTISTI CESARE;V. PALMIERI NICOLA 24;5;Stadera (42);375;17;361;188;173;321;40;306;2;5;5;15;0;18;10;0;187;174;0
2011/2012;2161;Paritaria;ISTITUTO MADRE COCCHETTI ANNNUNCIATA;VL GIOVANNI DA CERMENATE 4;5;Stadera (42);;5;122;61;61;88;34;121;0;0;1;0;0;0;0;0;117;5;0
2011/2012;2153;Statale;STATALE;VL PUGLIE 4;4;Lodi - Corvetto (35);300;15;309;158;151;298;11;292;0;3;0;5;0;1;8;0;241;68;0
2011/2012;2121;Privata non paritaria;CASA DEI BAMBINI MONTESSORI;V. PORPORA NICOLA ANTONIO 81;3;Loreto (20);;5;79;53;26;64;15;73;1;2;2;0;1;0;0;0;77;2;0
2011/2012;2111;Paritaria;PREZIOSISSIMO SANGUE;V. RICCARDI PADRE PLACIDO 5;2;Padova (19);;10;235;105;130;192;43;232;0;0;0;0;0;2;1;0;221;14;0
2011/2012;2112;Statale;GAMBARA VERONICA;VL BRIANZA 14;2;Loreto (20);500;17;351;172;179;334;17;315;1;2;4;9;1;13;6;0;288;63;0
2011/2012;2113;Paritaria;MARIA CONSOLATRICE;VL CORSICA 82;4;Corsica (25);;10;226;118;108;160;66;220;3;1;1;0;0;0;0;1;222;4;0
2011/2012;2114;Statale;QUASIMODO SALVATORE;V. CARDINALE MEZZOFANTI 25;4;Corsica (25);375;14;261;138;123;253;8;246;2;0;5;0;0;5;3;0;199;62;0
2011/2012;2196;Statale;EINAUDI LUIGI;V. VAL D'INTELVI 11;7;Baggio (55);500;20;463;238;225;447;16;442;2;3;3;4;1;5;3;0;400;63;0
2011/2012;2164;Statale;STATALE;V. DELL' ARCADIA 22;5;Gratosoglio - Ticinello (41);625;15;302;157;145;295;7;289;2;4;3;3;0;1;0;0;255;47;0
2011/2012;2115;Paritaria;FAES MONFORTE - SCUOLA PRIMARIA FEMMINILE;V. ZANOIA GIUSEPPE 1;3;CittË Studi (22);;5;108;0;108;88;20;106;0;0;0;0;0;1;1;0;106;2;0
2011/2012;2116;Paritaria;SAN GIUSEPPE;V. BAZZINI ANTONIO 10;3;CittË Studi (22);;5;101;58;43;93;8;94;1;1;2;0;0;3;0;0;87;14;0
2011/2012;2118;Statale;LEONARDO DA VINCI;PZ LEONARDO DA VINCI 2;3;CittË Studi (22);750;35;832;460;372;801;31;802;4;1;6;3;1;8;6;1;803;29;0
2011/2012;2126;Statale;BONETTI PIER FRANCO;V. TAJANI FILIPPO 12;3;CittË Studi (22);300;10;196;102;94;188;8;181;0;1;5;3;0;2;3;1;152;44;0
2011/2012;2120;Statale;SPERI TITO;V. PORPORA NICOLA ANTONIO 11;3;Loreto (20);425;15;310;156;154;291;19;267;1;4;8;9;1;12;8;0;179;131;0
2011/2012;2139;Statale;MELERI GEREMIA;V. MELERI GEREMIA 14;4;Mecenate (30);225;11;219;119;100;214;5;213;0;2;0;0;0;4;0;0;191;28;0
2011/2012;2123;Statale;NOLLI - ARQUATI;VL ROMAGNA 16;3;CittË Studi (22);600;23;500;276;224;491;9;453;2;4;6;7;1;12;15;0;405;95;0
2011/2012;2125;Paritaria;ROSSELLO GIUSEPPA;V. GOLDONI CARLO 68;3;Buenos Aires - Venezia (21);;5;120;61;59;113;7;114;1;0;2;1;0;1;1;0;113;7;0
2011/2012;2127;Paritaria;RUDOLF STEINER;V. CLERICETTI CELESTE 45;3;CittË Studi (22);;5;126;73;53;80;46;119;3;0;3;0;0;0;1;0;123;3;0
2011/2012;2129;Paritaria;FONDAZIONE SACRO CUORE;V. ROMBON 78;3;Lambrate (23);;10;260;133;127;128;132;254;0;0;2;3;0;1;0;0;258;2;0
2011/2012;2130;Statale;TOTI ENRICO;V. CIMA CAMILLO E OTTO 15;3;Lambrate (23);200;6;134;63;71;120;14;119;0;3;0;6;1;1;4;0;87;47;0
2011/2012;2131;Statale;MORANTE ELSA;V. PINI TOMMASO 3;3;Lambrate (23);475;14;310;171;139;286;24;275;1;7;4;11;0;8;4;0;223;87;0
2011/2012;2132;Paritaria;MARIA MATER MEA;V. PUSIANO 57;3;Parco Lambro - Cimiano (18);;6;147;62;85;67;80;144;0;0;0;1;0;1;1;0;144;3;0
2011/2012;2134;Statale;STATALE;V. FELTRE 68;3;Parco Lambro - Cimiano (18);375;17;366;205;161;341;25;343;1;14;3;1;0;2;2;0;316;50;0
2011/2012;2135;Statale;STATALE;V. CARNIA 32;3;Parco Lambro - Cimiano (18);300;12;253;142;111;232;21;220;0;3;3;7;0;15;5;0;154;99;0
2011/2012;2138;Statale;DECORATI AL VALOR CIVILE;V. DECORATI AL VALOR CIVILE 10;4;Mecenate (30);250;10;205;98;107;195;10;190;4;4;2;2;0;1;2;0;174;31;0
2011/2012;2119;Statale;CINQUE GIORNATE;VL MUGELLO 5;4;XXII Marzo (26);450;23;495;263;232;477;18;472;0;3;7;4;0;4;5;0;419;76;0
2011/2012;2212;Statale;MARIA MONTESSORI;V. QUARENGHI GIACOMO 10;8;Gallaratese (65);125;5;110;54;56;101;9;107;0;0;0;0;0;2;1;0;105;5;0
2011/2012;2198;Statale;STATALE;V. VALDAGNO 8;7;Forze Armate (56);300;10;207;103;104;192;15;182;3;0;0;8;0;8;6;0;127;80;0
2011/2012;2200;Paritaria;FIGLIE DI BETLEM;V. NOVARA 540;7;Figino (63);;5;113;61;52;21;92;110;1;0;1;0;0;0;1;0;110;3;0
2011/2012;2201;Statale;POMA CARLO;V. AIRAGHI GAETANO 42;7;Quinto Romano (62);250;10;181;88;93;165;16;166;1;0;3;2;0;6;3;0;150;31;0
2011/2012;2202;Statale;MANARA LUCIANO;V. FLLI ZOIA 10;7;Quarto Cagnino (61);225;11;230;115;115;210;20;217;2;1;0;1;0;5;4;0;195;35;0
2011/2012;2204;Paritaria;CASA DEI BAMBINI - SCUOLA MONTESSORI;V. AROSIO 3;7;S. Siro (60);;6;119;53;66;112;7;117;0;0;1;0;0;1;0;0;118;1;0
2011/2012;2206;Statale;STATALE;V. VISCONTI ALEX 16;8;Gallaratese (65);275;10;173;92;81;143;30;151;0;7;1;7;0;3;4;0;130;43;0
2011/2012;2207;Statale;STATALE;V. VISCONTINI MATILDE 7;8;Gallaratese (65);275;12;269;129;140;246;23;264;1;0;0;1;0;3;0;0;263;6;0
2011/2012;2208;Statale;NIEVO IPPOLITO;V. SILLA LUCIO CORNELIO 150;7;Figino (63);125;4;59;36;23;54;5;54;0;3;1;1;0;0;0;0;47;12;0
2011/2012;2193;Statale;FRATELLI CERVI;V. DEI SALICI 2;7;Baggio (55);400;14;277;153;124;246;31;257;5;2;4;2;0;6;1;0;225;52;0
2011/2012;2211;Statale;STATALE;V. DELLE ANDE 4;8;Gallaratese (65);250;10;229;129;100;224;5;227;0;0;0;1;0;1;0;0;214;15;0
2011/2012;2191;Statale;CABRINI FRANCESCA SAVERIO;V. DELLE FORZE ARMATE 65;7;Bande Nere (52);650;25;554;290;264;530;24;532;1;2;3;5;0;6;5;0;453;101;0
2011/2012;2213;Statale;MASSA RICCARDO;V. BROCCHI VIRGILIO 5;8;Gallaratese (65);450;20;437;246;191;396;41;417;3;5;2;3;0;3;4;0;407;30;0
2011/2012;2214;Statale;CADORNA LUIGI;V. DOLCI CARLO 5;7;Selinunte (57);625;20;340;175;165;330;10;292;0;2;1;28;0;5;12;0;139;201;0
2011/2012;2215;Privata non paritaria;INTERNATIONAL SCHOOL OF MILAN;V. PARAVIA PIER ALESSANDRO 5;7;S. Siro (60);;15;258;130;128;221;37;220;18;0;7;0;2;6;5;0;230;28;0
2011/2012;2216;Paritaria;CASA DEI BAMBINI MONTESSORI;V. BARTOLINI LORENZO 46;8;Villapizzone (71);;5;82;43;39;65;17;76;0;0;3;0;0;0;3;0;78;4;0
2011/2012;2217;Paritaria;BEATA VERGINE;V. TERRAGNI GIUSEPPE 36;8;QT 8 (66);;5;94;55;39;81;13;91;2;0;0;0;0;1;0;0;90;4;0
2011/2012;2110;Paritaria;SAN GIUSEPPE;V. DE LA SALLE S GIOV. BATTISTA 5;2;Padova (19);;9;239;137;102;198;41;229;1;2;3;1;1;2;0;0;225;14;0
2011/2012;2045;Paritaria;ISTITUTO GONZAGA;V. VITRUVIO 41;2;Centrale (10);;15;410;214;196;379;31;404;2;0;2;0;0;2;0;0;404;6;0
2011/2012;2220;Statale;LUTHER KING MARTIN;PZ SANTA MARIA NASCENTE 30;8;QT 8 (66);325;12;250;129;121;243;7;232;2;4;0;3;0;6;3;0;229;21;0
2011/2012;2218;Statale;STATALE;V. MONTE BALDO 11;7;S. Siro (60);275;10;196;108;88;192;4;180;0;1;1;5;1;5;3;0;152;44;0
2011/2012;2210;Statale;STATALE;V. CILEA FRANCESCO 12;8;Gallaratese (65);300;10;174;83;91;160;14;172;0;0;0;0;0;1;1;0;154;20;0
2011/2012;2181;Statale;SAURO NAZARIO;V. VESPRI SICILIANI 75;6;Giambellino (49);500;19;386;202;184;368;18;325;2;5;2;25;0;17;10;0;207;179;0
2011/2012;2166;Paritaria;LA ZOLLA;V. CARCANO GIULIO 53;5;Tibaldi (43);;15;324;160;164;265;59;315;3;0;1;0;0;4;1;0;324;0;0
2011/2012;2167;Statale;STATALE;V. SAN PAOLINO 4;6;Barona (46);375;10;196;86;110;179;17;190;0;1;0;3;1;1;0;0;150;46;0
2011/2012;2168;Statale;MORO ALDO;V. PESCARENICO 6;5;Stadera (42);300;15;324;161;163;313;11;310;0;1;3;3;0;3;4;0;284;40;0
2011/2012;2169;Statale;CAPPONI GINO;V. PESTALOZZI G.E. 13;6;S. Cristoforo (45);400;15;316;166;150;303;13;294;0;1;2;12;0;6;1;0;217;99;0
2011/2012;2170;Statale;SANT'AMBROGIO;V. DE NICOLA ENRICO 2;6;Barona (46);350;11;234;115;119;221;13;218;1;0;0;11;0;3;1;0;177;57;0
2011/2012;2171;Statale;CASATI GABRIO;V. SAN COLOMBANO 8;6;Ronchetto sul Naviglio (48);250;5;119;57;62;109;10;110;0;1;0;3;0;3;1;1;103;16;0
2011/2012;2173;Statale;PERTINI SANDRO;V. SALERNO 3;6;Ronchetto sul Naviglio (48);425;17;405;204;201;391;14;380;1;1;2;13;0;6;2;0;312;93;0
2011/2012;2176;Statale;STATALE;V. MASSAUA 5;7;Bande Nere (52);500;20;452;235;217;440;12;427;3;3;2;3;1;2;11;0;379;73;0
2011/2012;2177;Statale;STATALE;V. PISA UGO 1;6;Lorenteggio (53);400;17;346;174;172;330;16;333;2;1;2;3;0;4;1;0;314;32;0
2011/2012;2195;Paritaria;MADRE BUCCHI;V. PALMI 25;7;Forze Armate (56);;6;156;74;82;115;41;155;0;0;0;0;0;0;1;0;155;1;0
2011/2012;2180;Paritaria;SANT'ANGELA MERICI;V. VESPRI SICILIANI 55;6;Giambellino (49);;10;226;97;129;178;48;224;0;1;0;0;0;0;1;0;219;7;0
2011/2012;2192;Paritaria;MATER DIVINAE GRATIAE;V. GULLI TOMMASO 14;7;Bande Nere (52);;5;126;67;59;117;9;122;0;0;2;0;2;0;0;0;117;9;0
2011/2012;2182;Paritaria;SCUOLA COMUNITA' EBRAICA;V. MAYER SALLY 4;6;Bande Nere (52);;9;155;90;65;144;11;140;3;0;1;0;0;2;9;0;148;7;0
2011/2012;2183;Statale;GRIGIONI;V. SCROSATI LUIGI 3;6;Bande Nere (52);375;13;267;137;130;255;12;251;1;0;2;5;0;5;3;0;235;32;0
2011/2012;2185;Paritaria;DEVOTA MACULAN;V. INGANNI ANGELO 12;6;Lorenteggio (53);;12;252;126;126;140;112;246;0;1;3;0;0;1;1;0;251;1;0
2011/2012;2186;Statale;STATALE;V. DEI NARCISI 2;6;Lorenteggio (53);375;15;299;149;150;282;17;249;0;8;1;26;0;7;8;0;113;186;0
2011/2012;2187;Statale;STATALE;V. VITERBO 31;7;Forze Armate (56);375;11;238;123;115;231;7;228;0;5;1;1;0;2;1;0;198;40;0
2011/2012;2188;Statale;STATALE;V. DELLE FORZE ARMATE 279;7;Forze Armate (56);300;13;266;144;122;256;10;251;0;4;3;3;1;3;1;0;210;56;0
2011/2012;2189;Statale;TOMMASEO NICCOLO';V. MUGGIANO 14;7;Muggiano (54);125;5;114;58;56;110;4;110;1;0;1;0;0;1;1;0;106;8;0
2011/2012;2190;Statale;ZIMA CARLO E GARIBALDI ANITA;V. ANSELMO DA BAGGIO 60;7;Baggio (55);350;17;316;168;148;295;21;275;2;6;1;13;0;8;11;0;209;107;0
2011/2012;2165;Statale;STATALE;V. BARONI COSTANTINO 73;5;Gratosoglio - Ticinello (41);325;11;213;120;93;203;10;197;1;1;1;6;0;3;4;0;129;84;0
2011/2012;2178;Statale;STATALE;V. DEGLI ANEMONI 8;6;Lorenteggio (53);300;16;313;147;166;296;17;292;0;5;2;11;0;2;1;0;268;45;0
2011/2012;2041;Statale;MURATORI - MENOTTI PIO;V. MUZIO EMANUELE 5;2;Maciachini - Maggiolina (12);600;23;507;263;244;488;19;457;3;4;10;4;0;16;13;0;390;117;0
2011/2012;2026;Statale;SETTI CARRARO DALLA CHIESA;V. PASSIONE 12;1;Guastalla (4);0;10;231;91;140;224;7;224;3;0;2;0;1;0;1;0;230;1;0
2011/2012;2027;Paritaria;MONTESSORI S.R.L;V. MILAZZO 9;1;Brera (2);;5;107;51;56;103;4;100;4;0;2;1;0;0;0;0;98;9;0
2011/2012;2028;Paritaria;NUOVA EDUCAZIONE;V. PACE 10;1;Guastalla (4);;5;75;40;35;71;4;71;1;0;2;0;1;0;0;0;74;1;0
2011/2012;2029;Privata non paritaria;ASSOCIAZIONE SCUOLA SVIZZERA;V. APPIANI ANDREA 21;1;Brera (2);;6;148;68;80;122;26;125;5;1;13;0;0;2;1;1;132;16;0
2011/2012;2032;Statale;GOVONE-CONFALONIERI;V. JACOPO DAL VERME 10;9;Isola (11);425;15;302;145;157;292;10;276;0;3;2;2;0;11;8;0;234;68;0
2011/2012;2034;Paritaria;FAES ARGONNE - SCUOLA PRIMARIA MASCHILE;V. GIOIA MELCHIORRE 42;2;Centrale (10);;5;111;111;0;99;12;108;1;0;1;0;1;0;0;0;111;0;0
2011/2012;2035;Paritaria;MARIA CONSOLATRICE;V. GIOIA MELCHIORRE 51;2;Isola (11);;15;394;195;199;372;22;383;3;0;4;0;1;0;0;3;378;16;0
2011/2012;2036;Statale;DA GIUSSANO ALBERTO;BS PORTA NUOVA 4;1;Brera (2);350;9;165;79;86;153;12;156;0;1;1;3;1;3;0;0;143;22;0
2011/2012;2047;Statale;STATALE;V. MATTEUCCI CARLO 3;3;Buenos Aires - Venezia (21);450;20;427;202;225;409;18;387;3;0;6;8;1;10;12;0;326;101;0
2011/2012;2040;Statale;RODARI GIANNI;V. BOTTELLI GIUSEPPE 1;2;Greco (13);225;10;213;125;88;202;11;182;0;3;5;6;0;7;10;0;129;84;0
2011/2012;2023;Statale;DE MARCHI EMILIO;V. SANT' ORSOLA 15;1;Duomo (1);400;16;304;151;153;291;13;283;1;1;6;0;4;7;2;0;267;37;0
2011/2012;2042;Statale;LOCATELLI ANTONIO;V. VEGLIA 80;9;Maciachini - Maggiolina (12);500;18;376;187;189;338;38;336;2;1;4;6;0;8;19;0;256;120;0
2011/2012;2043;Statale;ARBE-ZARA;VL ZARA 96;2;Maciachini - Maggiolina (12);475;20;469;245;224;459;10;447;2;4;2;3;0;7;4;0;407;62;0
2011/2012;2046;Statale;SAVOIA MARIA BEATRICE - CARDINALE BORROMEO;V. CASATI FELICE 6;3;Buenos Aires - Venezia (21);400;11;249;136;113;241;8;231;4;0;0;2;4;3;5;0;179;70;0
2011/2012;2048;Statale;STOPPANI ANTONIO;V. STOPPANI ANTONIO 1;3;Buenos Aires - Venezia (21);350;18;367;181;186;358;9;343;2;0;9;3;1;3;6;0;321;46;0
2011/2012;2049;Statale;PISACANE CARLO E POERIO CARLO;V. PISACANE CARLO 9;3;Buenos Aires - Venezia (21);800;30;691;371;320;677;14;659;4;2;7;2;1;11;5;0;626;65;0
2011/2012;2052;Statale;MOROSINI EMILIO E DI SAVOIA BEATRICE;V. MOROSINI EMILIO 11;4;XXII Marzo (26);600;20;417;218;199;396;21;400;0;3;2;6;0;5;1;0;323;94;0
2011/2012;2053;Paritaria;MARIA AUSILIATRICE;V. BONVESIN DE LA RIVA 12;4;XXII Marzo (26);;7;152;78;74;136;16;145;1;0;2;3;0;1;0;0;148;4;0
2011/2012;2054;Statale;GROSSI TOMMASO;V. MONTE VELINO 2;4;Ortomercato (29);625;15;284;139;145;264;20;242;2;11;5;13;0;5;6;0;122;162;0
2011/2012;2055;Statale;OTTOLINI GIORDANO - BELGIOIOSO;V. COLLETTA PIETRO 49;4;Umbria - Molise (28);500;21;420;204;216;407;13;404;0;0;3;1;0;5;7;0;351;69;0
2011/2012;2037;Statale;GALVANI LUIGI;V. GALVANI LUIGI 7;2;Centrale (10);250;12;245;132;113;234;11;224;1;0;3;2;1;10;4;0;192;53;0
2011/2012;2013;Paritaria;SUORE FRANCESCANE MISSIONARIE DI GESU' BAMBINO;V. DELLA MOSCOVA 64;1;Brera (2);;5;74;35;39;70;4;74;0;0;0;0;0;0;0;0;56;18;0
2011/2012;2221;Statale;RADICE LOMBARDO GIUSEPPE;V. PARAVIA PIER ALESSANDRO 83;7;S. Siro (60);225;4;75;36;39;68;7;54;0;1;1;14;0;2;3;0;10;65;0
2011/2012;2174;Statale;FERRARIS GALILEO;V. BARONA 70;6;Barona (46);125;5;103;51;52;97;6;90;0;3;0;4;0;3;3;0;78;25;0
2011/2012;2000;Statale;PINI PAOLO E LARISSA;V. STEFANARDO DA VIMERCATE 14;2;Viale Monza (16);675;5;71;47;24;48;23;64;0;0;1;3;0;1;2;0;54;17;0
2011/2012;2002;Paritaria;ISTITUTO GIACOMO LEOPARDI;V. ARENA 13;1;Ticinese (6);;10;195;106;89;166;29;188;3;0;3;0;0;0;1;0;193;2;0
2011/2012;2003;Statale;D'INTIMIANO ARIBERTO - SANTA MADDALENA DI CANOSSA;V. ARIBERTO 14;1;Magenta - S. Vittore (7);550;20;449;232;217;436;13;415;9;2;4;1;1;9;8;0;399;50;0
2011/2012;2005;Paritaria;PIO ISTITUTO BUON PASTORE;V. SAN VITTORE 29;1;Magenta - S. Vittore (7);;5;104;64;40;93;11;95;2;3;3;0;0;1;0;0;96;8;0
2011/2012;2006;Paritaria;COLLEGIO SAN CARLO;CS MAGENTA 71;1;Magenta - S. Vittore (7);;20;449;256;193;403;46;414;14;0;9;0;10;2;0;0;437;12;0
2011/2012;2007;Paritaria;SUORE MARCELLINE;PZ TOMMASEO NICOLO' 1;1;Magenta - S. Vittore (7);;9;174;60;114;153;21;164;3;0;2;0;2;2;1;0;170;4;0
2011/2012;2008;Statale;ELEONORA E FRATELLI RUFFINI;V. FLLI RUFFINI 4;1;Magenta - S. Vittore (7);475;19;362;191;171;350;12;347;4;2;3;1;2;2;1;0;318;44;0
2011/2012;2025;Statale;CONVITTO NAZIONALE LONGONE;V. DEGLI OLIVETANI 9;1;Magenta - S. Vittore (7);0;5;102;56;46;100;2;101;0;0;0;0;0;1;0;0;99;3;0
2011/2012;2010;Statale;VISCONTI CICERI;V. PALERMO 9;1;Brera (2);375;17;350;194;156;345;5;331;6;0;3;2;1;3;4;0;321;29;0
2011/2012;2024;Statale;DIAZ ARMANDO;V. CROCEFISSO 15;1;Duomo (1);375;20;423;205;218;407;16;408;5;0;6;0;2;0;2;0;399;24;0
2011/2012;2014;Privata non paritaria;SCUOLA GERMANICA;V. LEGNANO 24;1;Brera (2);;15;345;169;176;276;69;278;48;0;7;2;4;3;3;0;295;50;0
2011/2012;2015;Paritaria;ISTITUTO ZACCARIA;V. DELLA COMMENDA 5;1;Guastalla (4);;10;193;119;74;178;15;187;3;0;2;0;1;0;0;0;193;0;0
2011/2012;2016;Paritaria;MADRE CABRINI;CS PORTA ROMANA 105;1;Guastalla (4);;10;164;82;82;153;11;155;0;0;1;4;0;4;0;0;153;11;0
2011/2012;2017;Paritaria;ISTITUTO VITTORIA COLONNA;V. CONSERVATORIO 4;1;Guastalla (4);;11;182;83;99;171;11;167;4;0;4;3;1;2;1;0;175;7;0
2011/2012;2018;Paritaria;SUORE MARCELLINE;V. QUADRONNO 15;1;Vigentina (5);;5;127;47;80;111;16;114;4;0;5;0;0;3;1;0;120;7;0
2011/2012;2020;Statale;PORTA CARLO E AGNESI GAETANA;V. QUADRONNO 32;1;Vigentina (5);525;22;470;253;217;453;17;454;5;0;4;1;1;2;3;0;444;26;0
2011/2012;2021;Statale;CUOCO VINCENZO;V. CORRIDONI FILIPPO 34;1;Guastalla (4);425;18;383;203;180;374;9;373;5;0;1;1;0;3;0;0;362;21;0
2011/2012;2022;Paritaria;SUORE ORSOLINE DI SAN CARLO;V. LANZONE 53;1;Duomo (1);;9;231;114;117;219;12;220;6;2;0;0;0;0;2;1;221;10;0
2011/2012;2058;Statale;STATALE;V. DELLE FOPPETTE 1;6;Tortona (50);275;10;210;95;115;205;5;198;0;1;0;2;1;3;5;0;178;32;0
2011/2012;2009;Statale;ROSSARI E CASTIGLIONI;V. DELLA SPIGA 29;1;Duomo (1);250;8;150;67;83;147;3;139;2;0;2;0;0;2;5;0;116;34;0
2011/2012;2099;Paritaria;RICCI ACHILLE;V. SBARBARO CAMILLO 2;9;Parco Nord (84);;8;153;85;68;127;26;148;1;1;3;0;0;0;0;0;151;2;0
2011/2012;2056;Paritaria;SUORE MANTELLATE;V. VASARI GIORGIO 16;4;Porta Romana (27);;5;101;55;46;91;10;98;0;0;1;0;0;2;0;0;97;4;0
2011/2012;2086;Statale;SORELLE AGAZZI;PZ GASPARRI PIETRO 6;9;Comasina (82);300;11;206;108;98;187;19;170;2;2;5;7;0;8;12;0;87;119;0
2011/2012;2088;Paritaria;COR JESU;V. TEANO 21;9;Comasina (82);;10;260;128;132;204;56;253;1;3;1;0;0;0;2;0;236;24;0
2011/2012;2089;Statale;DON ORIONE;V. FABRIANO 4;9;Affori (80);275;15;326;166;160;299;27;297;2;5;5;3;2;4;8;0;265;61;0
2011/2012;2090;Statale;CALVINO ITALO;V. SCIALOIA VITTORIO 19;9;Affori (80);350;16;339;179;160;318;21;290;1;5;2;7;0;15;19;0;148;191;0
2011/2012;2091;Statale;PERTINI SANDRO;V. MANN THOMAS 8;9;Niguarda - CË Granda (14);300;10;230;129;101;218;12;216;1;1;4;7;1;0;0;0;187;43;0
2011/2012;2094;Paritaria;MARIA IMMACOLATA;VL SUZZANI GIOVANNI 64;9;Niguarda - CË Granda (14);;5;109;51;58;100;9;107;0;0;1;0;0;1;0;0;104;5;0
2011/2012;2095;Statale;PIRELLI GIAN BATTISTA;V. GOFFREDO DA BUSSERO 9;9;Niguarda - CË Granda (14);250;13;283;142;141;260;23;265;1;3;0;10;1;2;1;0;249;34;0
2011/2012;2096;Statale;POERIO CARLO;V. PIANELL SALVATORE 40;9;Greco (13);350;16;351;171;180;336;15;323;0;4;4;5;0;9;6;0;276;75;0
2011/2012;2084;Statale;CESARE CANTU';V. DEI BRASCHI 12;9;Bruzzano (83);275;13;276;144;132;258;18;249;1;3;5;7;0;8;3;0;198;78;0
2011/2012;2098;Statale;DUCA DEGLI ABRUZZI;V. CESARI ANTONIO 38;9;Niguarda - CË Granda (14);500;18;401;190;211;389;12;383;1;3;4;0;4;4;2;0;374;27;0
2011/2012;2083;Statale;CARACCIOLO FRANCESCO;V. ISEO 7;9;Affori (80);375;15;308;181;127;294;14;289;0;2;8;3;0;3;3;0;220;88;0
2011/2012;2100;Statale;STATALE;V. CARNOVALI GIOVANNI 19;2;Viale Monza (16);125;5;113;62;51;110;3;108;2;0;1;1;0;1;0;0;98;15;0
2011/2012;2101;Statale;MARTIRI DI GORLA;V. CESALPINO ANDREA 38;2;Viale Monza (16);300;18;381;207;174;365;16;338;0;8;6;11;0;10;7;1;230;151;0
2011/2012;2102;Statale;BOTTEGO VITTORIO;V. SAN MAMETE 11;2;Adriano (17);475;19;405;205;200;390;15;378;2;3;4;4;0;9;5;0;300;105;0
2011/2012;2103;Statale;CASA DEL SOLE;V. GIACOSA GIUSEPPE 46;2;Loreto (20);600;24;520;279;241;489;31;421;4;8;9;18;0;26;34;0;239;281;0
2011/2012;2104;Statale;STATALE;V. SANT' UGUZZONE 10;2;Viale Monza (16);125;7;145;66;79;131;14;138;0;1;2;0;0;0;4;0;110;35;0
2011/2012;2105;Statale;STATALE;V. MATTEI GIANFRANCO 12;2;Viale Monza (16);350;16;369;187;182;345;24;343;2;0;4;5;0;10;5;0;310;59;0
2011/2012;2106;Statale;RUSSO VINCENZO PIMENTEL ELEONORA;V. RUSSO VINCENZO 27;2;Padova (19);425;16;310;156;154;294;16;257;0;8;3;16;0;5;21;0;137;173;0
2011/2012;2107;Statale;CIRESOLA TEODORO;V. VENINI GIULIO E CORRADO 80;2;Loreto (20);400;15;250;138;112;233;17;207;4;1;3;11;0;8;15;1;122;128;0
